Gas,Brake,Fuel,Gear,Rpms,SteerAngle,SpeedKmh,Velocity,AccG,WheelSlip,WheelLoad,WheelsPressure,WheelAngularSpeed,TyreWear,TyreDirtyLevel,TyreCoreTemperature,CamberRad,SuspensionTravel,DRS,TC,Heading,Pitch,Roll,CgHeight,CarDamage,NumberOfTyresOut,PitLimiterOn,Abs,Status,Session,CurrentTime,LastTime,BestTime,Split,CompletedLaps,Position,CurrentTimeValue,LastTimeValue,BestTimeValue,SessionTimeLeft,DistanceTraveled,IsInPit,CurrentSectorIndex,LastSectorTime,NumberOfLaps,TyreCompound,ReplayTimeMultiplier,NormalizedCarPosition,CarCoordinates,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4202831,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4203025,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4203222,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4203416,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4203613,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4203807,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4204034,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4204230,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4204427,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
0,0,30,3,4958,0,64.47122,-6.856102:-0.03535887:-16.54428:,-0.5455827:0.0275194:-0.1927037:,0.04287332:0.04451561:0.2783331:0.2340562:,2813.353:1909.779:3731.269:2010.685:,37.68774:33.78532:32.86655:32.15519:,1.757522:2.263404E-18:1.137154E-41:7.375374E-39:,99.46696:99.44215:100:100:,0:0:0:0:,99.04836:74.65825:68.91594:64.46993:,0.01189551:0.01331416:-0.02916128:0.04839509:,0.1424242:0.1234957:0.1574902:0.1402906:,0,0.11,2.785802,-0.002099111,0.01424406,0.4081516,0:0:0:0:0:,0,0,0.13,3,0,1:20:868,1:53:296,1:53:296,52.6,1,1,80868,113296,113296,-4204622,4655.413,0,1,52688,5,Street,1,0.8578336,18.61377:5.399961:199.1312:,
